Name,Description,Duration,Year,Type
De patitas a la calle,"Una perra llamada Lasmi se perdió en la ciudad de Lima. Un grupo de patrulla canina la ayuda a encontrar a su familia. Pero un grupo de traficantes está secuestrando perros, por lo que deben descubrirlos y atraparlos.","1 horas, 37 minutos",2019,movie
K-9 Aventuras: Un Cuento de Navidad,"Kassie, sus amigos y su perro, Scoot, organizan una recaudación de fondos para las fiestas, pero deben proteger el dinero de algunos ladrones para poder salvar la Navidad.","1 horas, 45 minutos",2012,movie
Smitty,"Ben, un chico de trece años, lleva a cabo continuas travesuras que traen de cabeza a su madre, una mujer soltera que lucha cada día por intentar salir adelante sin una pareja que le ayude a tratar que el comportamiento de su hijo mejore.","1 horas, 52 minutos",2012,movie
La Mejor Amiga de Summer,"El brillante e independiente Summer Larsen, de 12 años, rescata a un dulce perro callejero y no se detendrá ante nada para salvarlo. Y es su determinación lo que finalmente impacta a quienes la rodean.","1 horas, 59 minutos",2014,movie
El perrito Pudsey,"En la ciudad de Londres Pudsey es feliz con su vida de perro callejero, pero un día su vida cambiará radicalmente. Molly, George y Tommy son tres hermanos que deciden acogerlo en la familia. Todo cambia tras la muerte de su padre.","1 horas, 43 minutos",2014,movie
El Sol de Medianoche,"En las heladas tierras del norte de Canadá, el joven Luke desafiará los peligros de la naturaleza y la dura inclemencia del tiempo invernal para ayudar a un joven oso polar a que se reúna con su madre.","1 horas, 54 minutos",2014,movie
Una verdadera amistad,"Finn es un niño de 13 años que es acosado constantemente en la escuela, pero su vida comienza a cambiar el día que conoce a un labrador llamado Marshall, que vive en condiciones extremas y necesita atención médica.","1 horas, 46 minutos",2019,movie
Apex,"Cinco cazadores de élite pagan para cazar a un hombre en una isla desierta. Pero cuando su presa comienza a defenderse, los roles de cazadores y de la presa cambian de lado…","1 horas, 51 minutos",2021,movie
La jugada maestra,"Ambientado durante la Guerra Fría, el campeón de ajedrez norteamericano Bobby Fischer se encuentra atrapado entre dos superpotencias y sus propias luchas mientras desafía al Imperio Soviético.","2 horas, 15 minutos",2015,movie
Un pasado imborrable,"Un ex oficial del ejército británico, que fue torturado como prisionero de guerra  durante la Segunda Guerra Mundial, descubre que el soldado japonés que tanto lo maltrató sigue vivo y se dispone a confrontarlo.","2 horas, 16 minutos",2014,movie
